,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
71,C4PEA215-4B,333.0118827,131016,50.45634586,,-27.47340082,0.049356872,76.92532378,130910,4.662140835,0.163921956,0.16,0.16,0,0.215650446,PE,4,B,215,1,6.108,4.32008,charred,29.27177472,12.62633175
54,C4LEN215-4C,303.3240861,131021,49.72526002,,-26.02692162,0.050919884,78.24706563,130927,4.890441602,0.222999891,0.22,0.22,0,0.322736888,LE,4,C,215,1,1.39993,1.04942,charred,25.03768046,11.8624877
53,C4LEN215-4B,312.68,131017,48.85625,,-26.16093512,0.049207001,78.6549982,130927,4.885403615,0.231931108,0.23,0.23,0,0.32268877,LE,4,B,215,1,1.39993,1.04942,charred,25.03768046,11.66719535
70,C4PEA215-4A,298.26,131017,43.22608696,,-27.19039867,0.050863604,71.4426777,130926,4.579658827,0.414834873,0.41,0.41,0,0.218604422,PE,4,A,215,1,6.108,4.32008,charred,29.27177472,11.01183225
52,C4LEN215-4A,321.3114607,131016,50.20491573,,-26.32424465,0.047805277,81.36200623,130926,4.871976421,0.598543406,0.6,0.6,0,0.218246657,LE,4,A,215,1,1.39993,1.04942,charred,25.03768046,12.02230812
35,C4EIN215-4B,326.87,131017,54.47833333,,-27.31151203,0.051070251,70.88315944,130927,2.347124485,0.675836521,0.68,0.68,0,0.320319756,EI,4,B,215,1,1.77232,1.3387,charred,24.46623635,27.07911573
45,C4EM215-4C,317.1412943,131025,47.33452154,,-25.35691512,0.071876722,61.16217038,130927,2.109040358,0.898905891,0.9,0.9,0,0.31914618,EM,4,C,215,1,1.91116,1.46082,charred,23.56369953,26.18423505
34,C4EIN215-4A,347.1886779,131021,49.59838256,,-27.56686083,0.053521508,66.58222862,130819,2.34444467,1.071355883,1.07,1.07,0,0.328079111,EI,4,A,215,1,1.77232,1.3387,charred,24.46623635,24.68165719
44,C4EM215-4B,321.0136383,131025,48.63843005,,-25.62887358,0.072380731,70.74428003,130819,2.238743039,1.138986146,1.14,1.14,0,0.327537831,EM,4,B,215,1,1.91116,1.46082,charred,23.56369953,25.3467388
27,C4BW215-4C,289.65,131017,46.71774194,,-27.28123369,0.051018366,50.24255779,130927,1.75061177,1.50883279,1.51,1.51,0,0.315996237,BW,4,C,215,1,2.96379,2.21225,charred,25.35739712,31.13427729
26,C4BW215-4B,304.6491915,131021,44.80135169,,-27.10278929,0.05270491,46.95612179,130819,1.570438856,1.654938613,1.65,1.65,0,0.323550554,BW,4,B,215,1,2.96379,2.21225,charred,25.35739712,33.28257158
43,C4EM215-4A,290.553421,131025,48.42557017,,-25.22929001,0.07164864,70.59616296,130819,2.277295579,1.661016806,1.66,1.66,0,0.323505101,EM,4,A,215,1,1.91116,1.46082,charred,23.56369953,24.80859272
36,C4EIN215-4C,329.31,131017,51.4546875,,-27.46290373,0.051331891,70.83033535,130819,2.467955936,1.682283113,1.68,1.68,0,0.323346353,EI,4,C,215,1,1.77232,1.3387,charred,24.46623635,24.32396295
25,C4BW215-4A,314.9262626,131025,47.00391979,,-27.1269706,0.075574297,48.18741589,130926,1.633471725,2.414820414,2.41,2.41,0,0.216263344,BW,4,A,215,1,2.96379,2.21225,charred,25.35739712,33.57138393
72,C4PEA215-4C,353.9193972,131022,53.62415109,,-27.51250162,0.051086801,73.51962967,130903,4.868849647,3.06466867,3.06,3.06,0,0.188468914,PE,4,C,215,1,6.108,4.32008,charred,29.27177472,12.84934104
61,C4NB215-4A,299.4556543,131025,48.29929908,,-28.09364208,0.077981104,50.5125678,130926,1.634710932,3.722122105,3.72,3.72,0,0.216605233,NB,4,A,215,1,1.97168,1.41168,charred,28.4021748,34.47042603
95,RYE2154E,304.5581179,181031,47.38589472,40.97469851,-25.78553174,0.082062899,56.5337177,NA,1.445875133,3.769880543,3.77,3.77,0,0.270995572,rye,4,E,215,1,1309.28,994.88,charred,24.01319809,42.33074995
94,RYE2154C,296.1654239,181031,42.30934627,43.13565527,-25.62407343,0.081952439,53.4348082,NA,1.380744398,3.888653257,3.89,3.89,0,0.270459371,rye,4,C,215,1,1309.28,994.88,charred,24.01319809,44.28191553
93,RYE2154B,285.6917835,181031,43.95258208,41.00096617,-25.77702964,0.082056943,57.02022026,NA,1.432668851,3.967638551,3.97,3.97,0,0.270109195,rye,4,B,215,1,1309.28,994.88,charred,24.01319809,38.20212699
63,C4NB215-4C,352.815761,131021,51.13271899,,-27.916968,0.054155044,53.61951747,130902,1.713083625,4.155619638,4.16,4.16,0,0.290358045,NB,4,C,215,1,1.97168,1.41168,charred,28.4021748,34.82307456
36,OAT2154C,320.9135601,181031,50.14274377,24.51000252,-27.2829509,0.083226222,88.43362719,NA,2.909000894,4.562549643,4.56,4.56,0,0.267638169,oat,4,C,215,1,1714.4,1362.34,charred,20.5354643,20.10995178
35,OAT2154B,343.1420211,181031,51.21522703,22.35157842,-27.2292339,0.083180195,107.1711582,NA,3.490917205,4.988485691,4.99,4.99,0,0.266052598,oat,4,B,215,1,1714.4,1362.34,charred,20.5354643,17.11616022
34,OAT2154A,332.7887678,181031,46.87165744,22.5461874,-27.68520246,0.083580854,105.1788685,NA,3.426021775,5.223494522,5.22,5.22,0,0.265244532,oat,4,A,215,1,1714.4,1362.34,charred,20.5354643,15.961253
145,SPT2154B,337.8465449,181031,50.42485745,25.50467493,-26.93169807,0.082930972,62.54067479,NA,2.120022874,6.338267102,6.34,6.34,0,0.262072644,spelt,4,B,215,1,2780.5,2242.28,charred,19.35695019,27.74922906
144,SPT2154A,284.9288998,181031,43.17104542,25.52103539,-27.77070411,0.083658486,68.41384902,NA,2.257882806,7.239298419,7.24,7.24,0,0.260325676,spelt,4,A,215,1,2780.5,2242.28,charred,19.35695019,22.3068352
146,SPT2154C,306.0971373,181031,45.6861399,25.03941751,-27.35416014,0.083287723,69.51958111,NA,2.364611602,7.278452641,7.28,7.28,0,0.2602666,spelt,4,C,215,1,2780.5,2242.28,charred,19.35695019,22.54090967
62,C4NB215-4B,315.0904646,131016,48.47545609,,-28.07948047,0.050318686,48.52330736,130910,1.575432057,9.003874275,9,9,0,0.209002345,NB,4,B,215,1,1.97168,1.41168,charred,28.4021748,35.89789767
73,C4PEA215-8A,352.4159252,131016,55.93903575,,-27.67846245,0.04967165,83.66624951,130910,5.19666146,0.606042813,0.61,0.61,0,0.213985065,PE,8,A,215,2,6.14241,3.75692,charred,38.83638507,12.55848757
55,C4LEN215-8A,331.1562293,131021,53.41229505,,-26.42215143,0.051557418,92.8332354,130927,5.73044663,0.63217157,0.63,0.63,0,0.32055081,LE,8,A,215,2,1.40023,0.91672,charred,34.53075566,10.8742561
57,C4LEN215-8C,358.8385861,131026,52.77038031,,-26.4988421,0.075803099,88.34222298,130927,5.736507986,0.663485199,0.66,0.66,0,0.320385069,LE,8,C,215,2,1.40023,0.91672,charred,34.53075566,10.73221616
56,C4LEN215-8B,323.7046962,131026,51.38169781,,-25.86450158,0.073777704,91.37784897,130927,6.01170059,0.787719486,0.79,0.79,0,0.319729711,LE,8,B,215,2,1.40023,0.91672,charred,34.53075566,9.971440396
75,C4PEA215-8C,384.7423883,131026,56.57976299,,-27.80864206,0.080260768,79.97164436,130902,5.061496478,0.929852866,0.93,0.93,0,0.333077373,PE,8,C,215,2,6.14241,3.75692,charred,38.83638507,13.0415429
46,C4EM215-8A,365.13,131017,56.17384615,,-25.49481165,0.048236026,85.09196587,130903,2.675847983,1.130041548,1.13,1.13,0,0.194164567,EM,8,A,215,2,2.00825,1.30048,charred,35.24312212,24.49173281
