,ID,,,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15Nav,normd15N,d15Nsd,d15n28th,,normd15N1,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,,,,
11,BAR3004B,#N/A,,181219,61.6201968,-26.29364108,0.071662737,NA,3.043470159,0.693216949,0.693216949,0.28506296,0.69,TRUE,0.69,Barley,4,B,300,13,2609.94,1148.74,charred,55.98596136,23.62113832,,,,
10,BAR3004A,#N/A,,181219,68.03494115,-26.27388776,0.071614853,NA,3.093032254,0.84851599,0.84851599,0.283431414,0.85,TRUE,0.85,Barley,4,A,300,13,2609.94,1148.74,charred,55.98596136,25.66222771,,,,
12,BAR3004C,#N/A,,181219,68.82089886,-25.9721023,0.070894345,NA,3.118881062,1.385484481,1.385484481,0.277953893,1.39,TRUE,1.39,Barley,4,C,300,13,2609.94,1148.74,charred,55.98596136,25.74354298,,,,
13,BAR3008A,#N/A,,181219,68.05846488,-26.63105792,0.07249409,NA,2.967562214,0.915102089,0.915102089,0.282738269,0.92,TRUE,0.92,Barley,8,A,300,14,2489.91,1052.1,charred,57.74546068,26.75648787,,,,
15,BAR3008C,#N/A,,181219,65.37589216,-26.39047774,0.071898746,NA,2.690997015,0.999429284,0.999429284,0.281866016,1,TRUE,1,Barley,8,C,300,14,2489.91,1052.1,charred,57.74546068,28.34335147,,,,
14,BAR3008B,#N/A,,181219,58.88364903,-26.09799097,0.071192364,NA,3.002843044,1.929710962,1.929710962,0.272673481,1.93,TRUE,1.93,Barley,8,B,300,14,2489.91,1052.1,charred,57.74546068,22.87751625,,,,
8,BAR30024B,#N/A,,181219,65.04488004,-26.30982967,0.071702045,NA,3.172601248,1.127614585,1.127614585,0.280552162,1.13,TRUE,1.13,Barley,24,B,300,15,2433.51,905.46,charred,62.79201647,23.91907695,,,,
7,BAR30024A,#N/A,,181219,71.42225379,-26.366087,0.071839103,NA,2.688597704,1.250569285,1.250569285,0.27930575,1.25,TRUE,1.25,Barley,24,A,300,15,2433.51,905.46,charred,62.79201647,30.99235064,,,,
9,BAR30024C,#N/A,,181219,66.48302811,-26.21690629,0.071477218,NA,3.284454574,1.247082375,1.247082375,0.279340909,1.25,TRUE,1.25,Barley,24,C,300,15,2433.51,905.46,charred,62.79201647,23.61534649,,,,
1,BAR0A,BAR0A,just 190405 ( not using 190332),190355,38.25139118,-26.35446794,0.068816365,190405,1.524968031,,1.324794426,0.42698354,1.32,TRUE,1.32,Barley,0,A,0,16,NA,NA,fresh,NA,28.45550329,,,,
2,BAR0B,#N/A,just 190405 ( not using 190332),190259.5,35.94597873,-26.24121092,0.164944051,190405,1.51398985,,0.380940451,0.444977912,0.38,TRUE,0.38,Barley,0,B,0,16,NA,NA,fresh,NA,24.33912246,,,,
3,BAR0D,#N/A,just 190405 ( not using 190332),190402,40.41861,-26.5273,0.064121,190405,1.413474176,,1.091286143,0.431327,1.09,not 1.37? - use BAR0D,1.09,Barley,0,C,0,16,NA,NA,fresh,NA,20.79006037,,,,
27,C4BW215-4C,#N/A,,131017,46.71774194,-27.28123369,0.051018366,130927,1.75061177,1.50883279,1.50883279,0.315996237,1.51,TRUE,1.51,BW,4,C,215,1,2.96379,2.21225,charred,25.35739712,31.13427729,,,,
26,C4BW215-4B,#N/A,,131021,44.80135169,-27.10278929,0.05270491,130819,1.570438856,1.654938613,1.654938613,0.323550554,1.65,TRUE,1.65,BW,4,B,215,1,2.96379,2.21225,charred,25.35739712,33.28257158,,,,
25,C4BW215-4A,#N/A,,131025,47.00391979,-27.1269706,0.075574297,130926,1.633471725,2.414820414,2.414820414,0.216263344,2.41,TRUE,2.41,BW,4,A,215,1,2.96379,2.21225,charred,25.35739712,33.57138393,,,,
30,C4BW215-8C,#N/A,,131021,53.77644513,-27.1425402,0.052773797,130930,1.825071225,1.577901676,1.577901676,0.325374827,1.58,TRUE,1.58,BW,8,C,215,2,2.39312,1.65225,charred,30.95833055,34.37629454,,,,
29,C4BW215-8B,#N/A,,131025,48.68956,-26.83692791,0.074903145,130927,1.773805516,2.102157916,2.102157916,0.313016742,2.1,TRUE,2.1,BW,8,B,215,2,2.39312,1.65225,charred,30.95833055,32.02407826,,,,
28,C4BW215-8A,#N/A,,131017,51.86984127,-27.26104813,0.050983858,130910,1.975433181,2.530379304,2.530379304,0.208278071,2.53,TRUE,2.53,BW,8,A,215,2,2.39312,1.65225,charred,30.95833055,30.63369362,,,,
24,C4BW215-24C,#N/A,,131026,62.44793731,-27.18561568,0.078096715,130927,2.348331191,1.872385383,1.872385383,0.314160521,1.87,TRUE,1.87,BW,24,C,215,3,3.65364,1.9661,charred,46.18791123,31.02455358,,,,
22,C4BW215-24A,#N/A,,131021,61.09452872,-27.33004235,0.05310143,130930,2.15449396,2.240941231,2.240941231,0.319954189,2.24,TRUE,2.24,BW,24,A,215,3,3.65364,1.9661,charred,46.18791123,33.08291947,,,,
23,C4BW215-24B,#N/A,,131021,61.91379974,-27.12387037,0.052741418,130930,2.389774844,2.838512937,2.838512937,0.31522032,2.84,TRUE,2.84,BW,24,B,215,3,3.65364,1.9661,charred,46.18791123,30.22576229,,,,
81,C5BW230-4C,#N/A,,131021,55.47205641,-26.89667434,0.052350982,130819,1.947917287,1.530061429,1.530061429,0.324492294,1.53,TRUE,1.53,BW,4,C,230,4,3.16556,1.95498,charred,38.24220675,33.22389486,,,,
80,C5BW230-4B,#N/A,,131016,57.86195407,-26.96919404,0.048630793,130927,1.878027193,1.676370501,1.676370501,0.315146345,1.68,TRUE,1.68,BW,4,B,230,4,3.16556,1.95498,charred,38.24220675,35.9449604,,,,
79,C5BW230-4A,#N/A,,131017,61.33174603,-26.96835752,0.050491009,130930,2.463266292,1.75563042,1.75563042,0.323904935,1.76,TRUE,1.76,BW,4,A,230,4,3.16556,1.95498,charred,38.24220675,29.04830222,,,,
