"","ID","RunfileN","normd15N_DulpA","normd15N_DulpB","Sd","Mean","Number","RepSsrm"
"27","YAR004",190405,4.64166661353351,4.59372069256814,0.0339028858448474,4.61769365305083,2,0.00114940566860876
"37","RC2018",190405,3.48287141840387,3.79319581310131,0.219432483858171,3.63803361575259,2,0.0481506149721663
"20","YAR010",190322,8.14014735582921,8.07432097114607,0.0465462829904425,8.10723416348764,2,0.00216655646022636
"40","YAR020",190322,8.60961333872068,8.6404888601399,0.0218322905682014,8.62505109943029,2,0.000476648911454377
"64","OAT230",190322,3.58617227075173,3.60019618503497,0.00991640488845797,3.59318422789335,2,9.83350859118332e-05
"201","OAT300",190222,4.80143084537206,5.03200407875987,0.163039896888629,4.91671746206597,2,0.0265820079774548
"44","RYE300",190222,3.35225265594397,3.27031532620087,0.0579384414936641,3.31128399107242,2,0.00335686300271474
"61","SPT300",190222,6.17199750169693,6.03267270702079,0.0985175071029221,6.10233510435886,2,0.00970569920577432
"22","SPT245",190208,6.40084397988631,6.03660925826721,0.25755284160046,6.21872661907676,2,0.0663334662164717
"41","RYE245",190208,3.65254816389297,3.71690468240696,0.0455069306547996,3.68472642314997,2,0.00207088073762074
"611","OAT245",190208,4.25107175904109,4.2499255314597,0.000810505295583643,4.2504986452504,2,6.56918834169129e-07
"13","ORY080",200825,11.1890436275036,10.6015628071329,0.415411671901157,10.8953032173183,2,0.172566857151715
"19","ORY090",200825,17.9422750118752,16.3008317918628,1.16067563180345,17.121553401869,2,1.34716792226233
"31","R245-8",200825,2.76690511208022,2.68385410893863,0.0587259275057638,2.72537961050943,2,0.00344873456141222
"221","RYE230",181210,4.34416093723927,4.08974023746932,0.179902602081558,4.21695058735429,2,0.0323649462357155
"43","SPT230",181210,6.82799062580836,7.05660555528975,0.161655166916776,6.94229809054906,2,0.0261323929908906
"612","SPT230",181210,6.79640659127541,6.83015058263352,0.0238606051136196,6.81327858695446,2,0.00056932847638809
"24","LT058D",200827,3.592936721,3.18109799,0.291213959445362,3.3870173555,2,0.0848055701758452
"42","BT134D",200827,5.710572132,5.941349726,0.163184401663316,5.825960929,2,0.0266291489462144
"66","SPT0CD",200827,5.21286756,4.811724706,0.283650832287926,5.012296133,2,0.0804577946576329
"202","SM002D",181112,5.75832263552015,5.78016713180624,0.0154463914554987,5.76924488366319,2,0.000238591008996504
"38","STT002",181112,4.73546579197594,4.56465271840833,0.120783082634974,4.65005925519213,2,0.014588553050807
"59","STT009",181112,8.39442055586784,8.4465766352563,0.036879917415683,8.42049859556207,2,0.0013601283085876
"641","STM016",181112,12.9165768067428,10.5792324440298,1.65275204884251,11.7479046253863,2,2.73158933495312
"67","STM017",181112,10.2595758915383,10.2557735849586,0.00268863676665652,10.2576747382485,2,7.22876766301723e-06
"69","STM021",181112,9.91773483509809,9.75073589957832,0.118086079756964,9.83423536733821,2,0.0139443222323681
"222","SPT260",190214,6.32595127241481,5.93746456229541,0.27470158712628,6.13170791735511,2,0.0754609619696974
"411","RYE260",190214,4.10102619253565,4.36767570603878,0.188549679198157,4.23435094928722,2,0.0355509815257279
"60","OAT260",190214,4.69269149126503,4.35807065246978,0.236612664238452,4.52538107186741,2,0.0559855528780184
