ID,RunfileC,normd13C
CH6,181206,-10.47822769
CH6,181206,-10.40311378
CH6,181206,-10.41989326
CH6,181206,-10.48663102
CH6,181206,-10.45713425
CH7,181206,-32.08677623
CH7,181206,-32.06091682
CH7,181206,-32.19246939
CH7,181206,-32.20302856
CH7,181206,-32.211809
P2,181206,-28.35107979
P2,181206,-28.28354147
P2,181206,-28.28640552
P2,181206,-28.30103579
P2,181206,-28.35230623
SALANINE,181206,-27.2186534
SALANINE,181206,-27.12701951
SALANINE,181206,-27.12681565
SALANINE,181206,-27.15470978
SALANINE,181206,-27.18491592
SALANINE,181206,-27.13096066
SALANINE,181206,-27.16390736
SALANINE,181206,-27.1986739
SALANINE,181206,-27.22725035
SALANINE,181206,-27.1717806
CH6,181129,-10.47269956
CH6,181129,-10.39019391
CH6,181129,-10.42580143
CH6,181129,-10.50730511
CH7,181129,-32.27926026
CH7,181129,-32.07335328
CH7,181129,-32.13756741
CH7,181129,-32.11381906
P2,181129,-28.29067046
P2,181129,-28.28069348
P2,181129,-28.2293997
P2,181129,-28.32350021
SALANINE,181129,-27.14190369
SALANINE,181129,-27.18778194
SALANINE,181129,-27.16937001
SALANINE,181129,-27.12796962
SALANINE,181129,-27.18228858
SALANINE,181129,-27.13239836
SALANINE,181129,-27.12628053
SALANINE,181129,-27.11685372
CH6,181213,-10.49050392
CH6,181213,-10.43631518
CH6,181213,-10.37375702
CH6,181213,-10.49542387
CH7,181213,-32.19941161
CH7,181213,-32.22120607
CH7,181213,-32.08433204
CH7,181213,-32.09905027
P2,181213,-28.38575206
P2,181213,-28.30217766
P2,181213,-28.25019974
P2,181213,-28.2369679
SALANINE,181213,-27.11601941
SALANINE,181213,-27.19284118
SALANINE,181213,-27.26728085
SALANINE,181213,-27.08985916
SALANINE,181213,-27.13683521
SALANINE,181213,-27.2061341
SALANINE,181213,-27.0872785
SALANINE,181213,-27.27002179
CH6,181219,-10.47208156
CH6,181219,-10.4028332
CH6,181219,-10.42313412
CH6,181219,-10.39549716
CH6,181219,-10.46728362
CH6,181219,-10.53317035
CH7,181219,-32.09967837
CH7,181219,-32.11511234
CH7,181219,-32.12290353
CH7,181219,-32.1034252
CH7,181219,-32.23403098
CH7,181219,-32.23084958
P2,181219,-28.30648985
P2,181219,-28.1824413
P2,181219,-28.21709068
P2,181219,-28.21218307
P2,181219,-28.26937927
P2,181219,-28.31389712
SALANINE,181219,-27.11529677
SALANINE,181219,-27.14965104
SALANINE,181219,-27.20366742
SALANINE,181219,-27.11576849
SALANINE,181219,-27.08424393
SALANINE,181219,-27.12200116
SALANINE,181219,-27.14192081
SALANINE,181219,-27.08270819
SALANINE,181219,-27.17277591
SALANINE,181219,-27.11401006
SALANINE,181219,-27.13348202
SALANINE,181219,-27.17772935
CH6,181031,-10.48970019
CH6,181031,-10.44483936
CH6,181031,-10.42908236
CH6,181031,-10.41263034
CH6,181031,-10.46874774
CH7,181031,-32.15173415
CH7,181031,-32.15138072
CH7,181031,-32.13887988
CH7,181031,-32.16200525
P2,181031,-28.38868447
P2,181031,-28.26923134
P2,181031,-28.30208446
P2,181031,-28.34762349
P2,181031,-28.35477305
SALANINE,181031,-27.29158187
SALANINE,181031,-27.31632915
SALANINE,181031,-27.22142763
SALANINE,181031,-27.09925532
SALANINE,181031,-27.24375897
SALANINE,181031,-27.17374672
SALANINE,181031,-27.22944417
CH6,190402,-10.45962685
CH6,190402,-10.44423674
CH6,190402,-10.45673292
CH6,190402,-10.43540348
CH7,190402,-32.24112892
CH7,190402,-32.11249017
CH7,190402,-32.14076211
CH7,190402,-32.1096188
P2,190402,-28.24539001
P2,190402,-28.22870016
P2,190402,-28.28533263
SALANINE,190402,-27.15264708
SALANINE,190402,-27.16578823
SALANINE,190402,-27.1954645
SALANINE,190402,-27.1406437
CH6,190308,-10.59951344
CH6,190308,-10.45018729
CH6,190308,-10.37196208
CH6,190308,-10.37433719
CH7,190308,-32.23960834
CH7,190308,-32.08883333
CH7,190308,-32.10454262
CH7,190308,-32.17101571
P2,190308,-28.18992413
P2,190308,-28.16574653
P2,190308,-28.28506193
P2,190308,-28.41786081
SALANINE,190308,-27.12142551
SALANINE,190308,-27.16480535
SALANINE,190308,-27.11757391
SALANINE,190308,-27.11661182
SALANINE,190308,-27.19003938
SALANINE,190308,-27.15537586
SALANINE,190308,-27.13597893
SALANINE,190308,-27.13462013
CH6,190117,-10.31067638
CH6,190117,-10.49906106
CH6,190117,-10.53726257
CH7,190117,-31.84935066
CH7,190117,-32.5095169
CH7,190117,-32.09413244
P2,190117,-28.24673104
P2,190117,-28.33896024
P2,190117,-28.38931157
SALANINE,190117,-27.20524603
SALANINE,190117,-27.25528963
SALANINE,190117,-27.35097905
SALANINE,190117,-27.19835425
SALANINE,190117,-27.12136119
