,ID,RunfileC,normd13C,d13Csd as per Kragten
19,CH6,181206,-10.47822769,0.061283929
40,CH6,181206,-10.40311378,0.061419931
54,CH6,181206,-10.41989326,0.061389406
64,CH6,181206,-10.48663102,0.061268817
77,CH6,181206,-10.45713425,0.061321954
11,CH7,181206,-32.08677623,0.094524668
32,CH7,181206,-32.06091682,0.094428954
47,CH7,181206,-32.19246939,0.094916432
58,CH7,181206,-32.20302856,0.09495562
70,CH7,181206,-32.211809,0.094988213
26,P2,181206,-28.35107979,0.081347511
34,P2,181206,-28.28354147,0.081123302
50,P2,181206,-28.28640552,0.081132798
57,P2,181206,-28.30103579,0.081181323
72,P2,181206,-28.35230623,0.081351588
14,SALANINE,181206,-27.2186534,0.077668007
22,SALANINE,181206,-27.12701951,0.077378055
28,SALANINE,181206,-27.12681565,0.077377411
35,SALANINE,181206,-27.15470978,0.077465545
43,SALANINE,181206,-27.18491592,0.077561111
51,SALANINE,181206,-27.13096066,0.0773905
60,SALANINE,181206,-27.16390736,0.07749463
65,SALANINE,181206,-27.1986739,0.077604683
73,SALANINE,181206,-27.22725035,0.077695273
81,SALANINE,181206,-27.1717806,0.077519537
18,CH6,181129,-10.47269956,0.066958702
39,CH6,181129,-10.39019391,0.067170744
53,CH6,181129,-10.42580143,0.067078935
62,CH6,181129,-10.50730511,0.066870485
10,CH7,181129,-32.27926026,0.107093079
31,CH7,181129,-32.07335328,0.106150049
46,CH7,181129,-32.13756741,0.10644374
56,CH7,181129,-32.11381906,0.106335081
25,P2,181129,-28.29067046,0.089621198
33,P2,181129,-28.28069348,0.089579987
49,P2,181129,-28.2293997,0.089368347
55,P2,181129,-28.32350021,0.08975691
13,SALANINE,181129,-27.14190369,0.084978677
21,SALANINE,181129,-27.18778194,0.085159911
27,SALANINE,181129,-27.16937001,0.085087134
341,SALANINE,181129,-27.12796962,0.084923705
42,SALANINE,181129,-27.18228858,0.085138191
501,SALANINE,181129,-27.13239836,0.084941173
581,SALANINE,181129,-27.12628053,0.084917044
63,SALANINE,181129,-27.11685372,0.084879876
181,CH6,181213,-10.49050392,0.09899004
391,CH6,181213,-10.43631518,0.099098389
531,CH6,181213,-10.37375702,0.099224235
631,CH6,181213,-10.49542387,0.098980233
111,CH7,181213,-32.19941161,0.113485245
311,CH7,181213,-32.22120607,0.113550428
461,CH7,181213,-32.08433204,0.113142165
571,CH7,181213,-32.09905027,0.113185941
251,P2,181213,-28.38575206,0.103203328
331,P2,181213,-28.30217766,0.103005597
491,P2,181213,-28.25019974,0.102883275
561,P2,181213,-28.2369679,0.102852217
141,SALANINE,181213,-27.11601941,0.100342824
211,SALANINE,181213,-27.19284118,0.100506937
271,SALANINE,181213,-27.26728085,0.100667088
342,SALANINE,181213,-27.08985916,0.10028721
421,SALANINE,181213,-27.13683521,0.100387176
502,SALANINE,181213,-27.2061341,0.100535454
59,SALANINE,181213,-27.0872785,0.100281731
641,SALANINE,181213,-27.27002179,0.100673006
182,CH6,181219,-10.47208156,0.071735823
392,CH6,181219,-10.4028332,0.071904847
532,CH6,181219,-10.42313412,0.071855185
632,CH6,181219,-10.39549716,0.071922816
74,CH6,181219,-10.46728362,0.071747499
91,CH6,181219,-10.53317035,0.071587608
112,CH7,181219,-32.09967837,0.088864906
312,CH7,181219,-32.11511234,0.088917325
462,CH7,181219,-32.12290353,0.088943798
572,CH7,181219,-32.1034252,0.088877629
811,CH7,181219,-32.23403098,0.089322153
95,CH7,181219,-32.23084958,0.089311301
252,P2,181219,-28.30648985,0.076972373
332,P2,181219,-28.1824413,0.076622121
492,P2,181219,-28.21709068,0.07671967
562,P2,181219,-28.21218307,0.07670584
68,P2,181219,-28.26937927,0.076867296
85,P2,181219,-28.31389712,0.076993376
142,SALANINE,181219,-27.11529677,0.073730246
212,SALANINE,181219,-27.14965104,0.073819816
272,SALANINE,181219,-27.20366742,0.073961141
343,SALANINE,181219,-27.11576849,0.073731474
422,SALANINE,181219,-27.08424393,0.073649493
503,SALANINE,181219,-27.12200116,0.073747707
591,SALANINE,181219,-27.14192081,0.07379964
651,SALANINE,181219,-27.08270819,0.073645505
69,SALANINE,181219,-27.17277591,0.073880245
771,SALANINE,181219,-27.11401006,0.073726896
