ID,RunfileN,normd15N
LEU,200827,6.975080422
LEU,200827,6.891638598
LEU,200827,6.739094223
LEU,200827,6.65315288
N1,190405,0.62901593
N1,190405,-0.091263257
N1,190405,0.704410892
N1,190405,0.393377567
N1,190322,0.756132733
N1,190322,0.305743491
N1,190322,0.731384635
N1,190322,-0.054529107
N1,190322,0.30954588
N1,190222,0.269250022
N1,190222,0.640093701
N1,190222,0.325943643
N1,190222,0.398638496
N1,190222,0.509453658
N1,190222,0.271974534
N1,190208,0.472135624
N1,190208,0.50038851
N1,190208,0.17481549
N1,190208,0.481545894
N1,200825,0.399015661
N1,200825,0.406913098
N1,181210,-0.004839958
N1,181210,0.285943728
N1,181210,0.285667861
N1,181210,0.865757775
N1,181210,0.657540866
N1,181112,0.403802545
N1,181112,0.370332148
N1,181112,0.427469271
N1,190214,0.48375349
N1,190214,0.813346163
N1,190214,0.145193423
N1,190214,0.198012467
N2,190405,19.9285508
N2,190405,20.71932942
N2,190405,20.21657864
N2,190322,19.85872739
N2,190322,20.30874292
N2,190322,20.65467365
N2,190322,20.59874751
N2,190322,20.33026118
N2,190322,20.00056973
N2,190222,20.23313799
N2,190222,20.16931295
N2,190222,20.51591397
N2,190222,20.09930209
N2,190222,20.57656873
N2,190222,20.19041021
N2,190208,19.68364573
N2,190208,20.24928658
N2,190208,20.46876591
N2,190208,20.55730723
N2,190208,20.37045876
N2,190208,20.44165028
N2,200825,20.05422299
N2,200825,20.53984826
N2,181210,19.80672276
N2,181210,19.812005
N2,181210,19.98142812
N2,181210,20.85777658
N2,181210,20.95199726
N2,181112,20.43740587
N2,181112,20.20110597
N2,181112,20.25988419
N2,190214,20.60612782
N2,190214,19.9570874
N2,190214,19.99467425
N2,190214,20.74108779
N2,190214,20.1607172
P2,190405,-0.947587675
P2,190405,-0.698357776
P2,190405,-1.020966122
P2,190322,-1.147295543
P2,190322,-1.140242845
P2,190322,-1.15773863
P2,190322,-1.056122306
P2,190322,-1.022684285
P2,190222,-1.357134434
P2,190222,-1.433061092
P2,190222,-1.316249137
P2,190222,-1.38507202
P2,190222,-1.479392327
P2,190222,-1.282987552
P2,190208,-1.025071753
P2,190208,-1.176209968
P2,190208,-1.122445044
P2,190208,-0.950536551
P2,200825,-1.394234507
P2,200825,-1.050931887
P2,200825,-1.452811424
P2,181210,-1.052253347
P2,181210,-0.823157034
P2,181210,-0.654133561
P2,181210,-0.879488594
P2,200827,-1.754677836
P2,200827,-1.888073392
P2,200827,-1.572029164
P2,200827,-1.040367897
P2,181112,-0.910687835
P2,181112,-0.540641235
P2,181112,-0.34840924
P2,181112,-0.624630191
P2,181112,-0.70151823
P2,190214,-1.418766976
P2,190214,-1.05629801
P2,190214,-1.176519718
P2,190214,-1.336218842
SALANINE,190405,-1.05741786
SALANINE,190405,-1.174787496
SALANINE,190405,-1.452300069
SALANINE,190405,-1.095888362
SALANINE,190405,-1.195158074
SALANINE,190322,-1.424303031
SALANINE,190322,-1.064879748
SALANINE,190322,-1.424627579
SALANINE,190322,-1.144879075
SALANINE,190322,-1.388269123
SALANINE,190322,-1.182565213
SALANINE,190322,-0.892154399
SALANINE,190322,-1.192045348
SALANINE,190322,-1.15958334
SALANINE,190322,-0.772536214
SALANINE,190322,-1.358813278
SALANINE,190322,-1.304501345
SALANINE,190222,-1.628577662
SALANINE,190222,-1.406249237
SALANINE,190222,-1.59579469
SALANINE,190222,-1.459476607
SALANINE,190222,-1.148716851
SALANINE,190222,-1.239061797
SALANINE,190222,-1.470757592
SALANINE,190222,-1.554738399
SALANINE,190222,-1.498468735
SALANINE,190222,-1.358397028
SALANINE,190222,-1.295056479
SALANINE,190222,-1.473612707
SALANINE,190208,-1.358458257
SALANINE,190208,-1.149171443
SALANINE,190208,-1.155138485
SALANINE,190208,-1.495652188
SALANINE,190208,-1.395094569
SALANINE,190208,-1.454863209
SALANINE,190208,-1.2772194
SALANINE,190208,-0.928247704
SALANINE,200825,-1.191714489
SALANINE,200825,-1.086418419
SALANINE,200825,-1.144855174
SALANINE,200825,-1.265563806
SALANINE,200825,-1.821158368
SALANINE,181210,-0.686204857
SALANINE,181210,-1.113218495
SALANINE,181210,-0.924188769
SALANINE,181210,-1.019304372
SALANINE,181210,-0.707811131
SALANINE,181210,-0.970437206
SALANINE,181210,-1.095791982
SALANINE,181210,-1.075925594
SALANINE,200827,-1.603302204
SALANINE,200827,-0.973501969
SALANINE,200827,-1.840676264
SALANINE,200827,-1.42689868
SALANINE,200827,-1.356134655
SALANINE,200827,-1.528951912
SALANINE,200827,-1.299211856
SALANINE,200827,-1.675438949
SALANINE,181112,-0.892071726
SALANINE,181112,-0.804108001
SALANINE,181112,-1.027071829
SALANINE,181112,-0.884333189
SALANINE,181112,-0.940911201
SALANINE,181112,-1.382786639
SALANINE,181112,-0.75002867
SALANINE,190214,-1.36148621
SALANINE,190214,-1.519644523
SALANINE,190214,-1.13530405
SALANINE,190214,-0.886115734
SALANINE,190214,-1.099688015
SALANINE,190214,-1.356924022
SALANINE,190214,-1.38157794
SALANINE,190214,-1.116925138
SEAL,200827,16.16362077
SEAL,200827,16.39718356
SEAL,200827,16.29816072
SEAL,200827,16.31618324
