,ID,Cugdc,pcC,Nugdc,pcN,Species,time,temp,pcwtloss
32,HBH0-0,443.9190317,39.64577909,76.12597099,1.402213826,Barley,0,0,0
24,C8HBH215-4,320.9646121,49.59176722,56.81649974,1.886460775,Barley,4,215,25.30120482
25,C8HBH215-8,363.2692769,54.77990805,63.34377693,2.184042557,Barley,8,215,34.35114504
23,C8HBH215-24,393.7856183,59.63945104,88.11730953,2.784675869,Barley,24,215,43.87351779
27,C9HBH230-4,392.0580101,58.79762161,71.61775686,2.379869414,Barley,4,230,39.84375
28,C9HBH230-8,408.1088976,64.9474001,71.28456782,2.353726668,Barley,8,230,45.3125
26,C9HBH230-24,400.6296639,61.04094375,83.45191342,2.798239432,Barley,24,230,52.52918288
6,C10HBH245-4,392.6527557,60.68031115,77.78756086,2.562078671,Barley,4,245,43.41085271
7,C10HBH245-8,394.5468174,61.99081339,75.53625024,2.59011102,Barley,8,245,46
5,C10HBH245-24,406.8468144,62.58353557,82.2370636,2.74216369,Barley,24,245,52.20883534
9,C11HBH260-4,407.0954961,62.95741679,74.811342,2.523265051,Barley,4,260,49.19354839
10,C11HBH260-8,421.6459449,65.89328034,74.58081717,2.468162669,Barley,8,260,51.58730159
8,C11HBH260-24,417.7403788,64.29179667,82.25963456,2.76729668,Barley,24,260,56.8
2,BAR3004,532.8450006,66.15867894,77.64944766,3.085127825,Barley,4,300,55.98596136
3,BAR3008,487.8172698,64.10600202,70.8843129,2.887134091,Barley,8,300,57.74546068
1,BAR30024,531.2731324,67.65005398,71.78914524,3.048551175,Barley,24,300,62.79201647
4,BW0-0,448.907261,41.22851044,70.85138146,1.378179242,BW,0,0,0
12,C4BW215-4,303.0751514,46.17433781,48.46203182,1.65150745,BW,4,215,25.35739712
13,C4BW215-8,326.4065141,51.44528213,58.4883343,1.858103307,BW,8,215,30.95833055
11,C4BW215-24,401.6687637,61.81875526,67.01970589,2.297533332,BW,24,215,46.18791123
15,C5BW230-4,372.1063045,58.22191884,62.07043021,2.096403591,BW,4,230,38.24220675
16,C5BW230-8,385.546918,61.20308087,70.47922919,2.402874986,BW,8,230,45.42588936
14,C5BW230-24,391.4678125,62.46381265,71.97330087,2.328450024,BW,24,230,50.1001161
18,C6BW245-4,423.9406388,65.57844428,73.49660032,2.514075174,BW,4,245,47.95336184
19,C6BW245-8,428.9079042,63.06325792,66.47362226,2.212953631,BW,8,245,50.18898771
17,C6BW245-24,421.8483734,62.93888917,74.15764584,2.591977144,BW,24,245,54.2804436
21,C7BW260-4,425.7515617,63.23040682,74.74070213,2.482111304,BW,4,260,51.90045895
22,C7BW260-8,440.3370586,66.72696635,79.21474905,2.569084811,BW,8,260,52.68806771
20,C7BW260-24,410.9562597,64.86586141,83.33770564,2.793315234,BW,24,260,56.64628296
30,FT3004,570.5575757,70.05293125,79.33701901,3.08384612,BW,4,300,58.75888615
31,FT3008,553.2050618,66.36268878,64.09409018,2.548037338,BW,8,300,60.12408044
29,FT30024,531.603334,65.33699667,83.01591838,3.492444196,BW,24,300,64.8494358
