,RunfileC,ID,Number,d13Cmean,d13Csd,srm
1,181031,CH6,5,-10.449,0.030754082,0.003783254
2,181031,CH7,4,-32.151,0.009463912,0.000268697
3,181031,P2,5,-28.33247936,0.046929547,0.00880953
4,181031,SALANINE,7,-27.22507769,0.072568533,0.031597152
5,181129,CH6,4,-10.449,0.051502377,0.007957485
6,181129,CH7,4,-32.151,0.089521997,0.024042564
7,181129,P2,4,-28.28106596,0.03899766,0.004562453
8,181129,SALANINE,8,-27.14810581,0.02761603,0.005338516
9,181206,CH6,5,-10.449,0.036363667,0.005289265
10,181206,CH7,5,-32.151,0.071351398,0.020364088
11,181206,P2,5,-28.31487376,0.034262621,0.004695709
12,181206,SALANINE,10,-27.17046871,0.036814246,0.012197598
13,181213,CH6,4,-10.449,0.05686288,0.009700161
14,181213,CH7,4,-32.151,0.069320435,0.014415968
15,181213,P2,4,-28.29377434,0.067469087,0.013656233
16,181213,SALANINE,8,-27.17078377,0.074228998,0.038569609
17,181219,CH6,6,-10.449,0.052181736,0.013614668
18,181219,CH7,6,-32.151,0.063631293,0.020244707
19,181219,P2,6,-28.25024688,0.054270542,0.014726459
20,181219,SALANINE,12,-27.13443793,0.036813191,0.014907322
21,190117,CH6,3,-10.449,0.121305019,0.029429815
22,190117,CH7,3,-32.151,0.33373688,0.22276061
23,190117,P2,3,-28.32500095,0.072308008,0.010456896
24,190117,SALANINE,5,-27.22624603,0.084589654,0.028621638
25,190308,CH6,4,-10.449,0.106716262,0.034165082
26,190308,CH7,4,-32.151,0.068980794,0.01427505
27,190308,P2,4,-28.26464835,0.114391217,0.039256052
28,190308,SALANINE,8,-27.14205386,0.02608222,0.004761976
29,190402,CH6,4,-10.449,0.011258805,0.000380282
30,190402,CH7,4,-32.151,0.061707499,0.011423446
31,190402,P2,3,-28.25314093,0.029100975,0.001693733
32,190402,SALANINE,4,-27.16363588,0.023573202,0.001667088
