,ID,X.x,Cugdc,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN
13,FT0A,13,324.3889718,190308,30.89418779,-27.09037208,0.075089975,44.30298141,NA,1.096608451,1.277810497,0.363798125,-0.735157083,Free-T wheat,0,A,0,16,NA,NA,fresh,0,32.867902
15,FT0C,15,480.8531869,190308,43.71392608,-27.05987935,0.075039592,44.01842655,NA,1.100460664,1.544191959,0.360771927,-0.724862146,Free-T wheat,0,C,0,16,NA,NA,fresh,0,46.34384682
82,RYE0A,82,404.7804818,190117,40.07727543,-25.61662021,0.159106867,40.7889214,NA,1.213436045,2.167053464,0.503075823,-0.700790204,rye,0,A,0,16,1627.4,1627.4,fresh,0,46.31099615
83,RYE0B,83,347.7694027,190117,36.22597945,-25.82604767,0.160929011,43.31648702,NA,1.145424142,3.002050808,0.495377097,-0.668519776,rye,0,B,0,16,1627.4,1627.4,fresh,0,39.5156128
132,RYEXX2,132,305.8413878,190308,29.98444978,-25.61614788,0.073223192,48.97125484,NA,1.239778604,2.650465024,0.348853128,-0.682107631,RyeX,0,B,0,NA,NA,NA,fresh,0,28.21621375
131,RYEXX1,131,365.2847284,190308,32.90853409,-25.2807351,0.072965565,51.33753009,NA,1.286654889,3.912067638,0.336642888,-0.633350043,RyeX,0,A,0,NA,NA,NA,fresh,0,29.83961751
14,FT0B,14,432.4113973,190117,39.31012703,-26.81619976,0.273621034,52.44683989,NA,1.324415149,2.146880308,0.422732185,-0.701569843,Free-T wheat,0,B,0,16,NA,NA,fresh,0,34.62797516
84,RYE0C,84,359.5172966,190117,33.91672609,-24.89035155,0.153170373,52.69506455,NA,1.463241122,2.185771296,0.504232784,-0.70006681,rye,0,C,0,16,1627.4,1627.4,fresh,0,30.48714852
133,RYEXX3,133,392.7096257,190308,37.40091673,-25.96340278,0.073556242,53.63041561,NA,1.334089941,2.466489184,0.350760074,-0.68921781,RyeX,0,C,0,NA,NA,NA,fresh,0,32.70724224
276,NB0-0C,26,410.56,131017,39.47692308,-28.05837775,0.052395888,59.3901817,130930,1.148746261,1.928891711,0.322483799,0,NB,0,C,0,13,2.19039,2.19039,fresh,0,40.09276184
275,NB0-0B,41,418.9777084,131016,39.52619891,-27.96449836,0.050128974,60.26162852,130930,1.167861018,2.947676814,0.314371601,0,NB,0,B,0,13,2.19039,2.19039,fresh,0,39.48577615
274,NB0-0A,56,432.0176105,131021,40.0016306,-28.30204973,0.054868536,60.51979009,130930,1.148383114,3.544803029,0.30981977,0,NB,0,A,0,13,2.19039,2.19039,fresh,0,40.63850163
1,BAR0A,1,417.4195214,190355,38.25139118,-26.35446794,0.068816365,63.51594681,NA,1.524968031,0.561972091,0.440769898,-0.762822335,Barley,0,A,0,16,NA,NA,fresh,0,28.45550329
267,HBA0-0C,51,433.627457,131204,40.52593056,-28.2278407,0.069816929,64.0710351,131128,1.278862976,0.707672654,0.177428446,0,HBA,0,C,0,A0,1.95,1.95,fresh,0,36.97053805
278,PBA0-0B,28,428.4917295,131130,40.80873614,-28.2641932,0.058589847,64.35792992,131128,1.256990819,1.204225147,0.176455804,0,PBA,0,B,0,P0,1.9,1.9,fresh,0,37.87632452
266,HBA0-0B,49,415.3485891,131204,40.72044991,-28.76925819,0.068588132,68.08964123,131128,1.340347268,0.202230198,0.17847782,0,HBA,0,B,0,A0,1.95,1.95,fresh,0,35.44394254
277,PBA0-0A,68,416.1494854,131120,40.40286266,-28.44978611,0.075519078,68.46087379,131121,1.2917146,0.9009127,0.297187224,0,PBA,0,A,0,P0,1.9,1.9,fresh,0,36.49155402
2,BW0-0B,36,479.0401794,131016,42.77144459,-27.25045493,0.049027313,69.60884581,130902,1.383873674,2.073670062,0.317677794,0,BW,0,B,0,13,3.48933,3.48933,fresh,0,36.05821804
3,BW0-0C,50,448.8123109,131021,39.02715747,-27.18958897,0.05285559,70.52794593,130819,1.330715961,1.985770847,0.321129033,0,BW,0,C,0,13,3.48933,3.48933,fresh,0,34.21592966
2,BAR0B,2,384.6219724,190259.5,35.94597873,-26.24121092,0.164944051,71.20482077,NA,0.151398985,-0.419825762,0.45930203,-0.800766213,Barley,0,B,0,16,NA,NA,fresh,0,24.33912246
269,HBH0-0B,17,437.2067145,131204,38.35146618,-26.71787454,0.074838697,71.6149463,131128,1.302089933,0.670510993,0.177503573,0,HBH,0,B,0,H0,2.53,2.53,fresh,0,34.36273954
279,PBA0-0C,35,454.5351435,131130,40.58349496,-28.86258003,0.059820365,72.29782194,131128,1.374483307,0.865466952,0.177113052,0,PBA,0,C,0,P0,1.9,1.9,fresh,0,34.44742511
1,BW0-0A,59,418.8692927,131016,41.88692927,-27.01117535,0.048688597,72.41735264,130819,1.419948091,2.210193139,0.319547982,0,BW,0,A,0,13,3.48933,3.48933,fresh,0,34.41540184
3,BAR0C,3,340.3335944,190355,32.50523212,-26.51541812,0.069137641,72.78086393,NA,1.413474176,1.099899358,0.431145203,-0.742032875,Barley,0,C,0,16,NA,NA,fresh,0,20.79006037
