"","Standard","Number","d13Cmean","d13Csd","Session","srm"
"1","CH6",5,-10.449,0.0363636667958385,"181206",0.00528926505135507
"2","CH7",5,-32.151,0.0713513976660075,"181206",0.020364087795571
"3","P2",5,-28.31487376,0.0342626214617493,"181206",0.00469570891772449
"4","SALANINE",10,-27.170468713,0.0368142461826204,"181206",0.0121975984979512
"5","CH6",4,-10.449,0.0515023770345696,"181129",0.00795748452063289
"6","CH7",4,-32.151,0.0895219967540692,"181129",0.0240425637085068
"7","P2",4,-28.2810659621762,0.038997660260991,"181129",0.00456245251749503
"8","SALANINE",8,-27.1481058052448,0.0276160296696728,"181129",0.00533851566301373
"9","CH6",4,-10.449,0.0568628795488161,"181213",0.0097001612117495
"10","CH7",4,-32.151,0.0693204345662582,"181213",0.0144159679453647
"11","P2",4,-28.2937743402708,0.0674690873288611,"181213",0.0136562332349684
"12","SALANINE",8,-27.1707837745455,0.0742289978935038,"181213",0.0385696088979165
"13","CH6",6,-10.449,0.052181735848181,"181219",0.0136146677806467
"14","CH7",6,-32.151,0.063631292547252,"181219",0.0202447069561698
"15","P2",6,-28.250246882657,0.0542705418216582,"181219",0.0147264585480818
"16","SALANINE",12,-27.1344379290801,0.0368131913140153,"181219",0.0149073216019452
"17","CH6",5,-10.449,0.0307540816563548,"181031",0.00378325415410295
"18","CH7",4,-32.151,0.00946391172132739,"181031",0.000268696875207234
"19","P2",5,-28.3324793623074,0.0469295469666905,"181031",0.00880952951399524
"20","SALANINE",7,-27.225077691382,0.072568532608125,"181031",0.031597151549379
"21","CH6",4,-10.449,0.0112588045596236,"190402",0.000380282040335402
"22","CH7",4,-32.151,0.0617074993019182,"190402",0.0114234464102887
"23","P2",3,-28.2531409317862,0.0291009749205904,"190402",0.00169373348265766
"24","SALANINE",4,-27.1636358762334,0.0235732022496705,"190402",0.00166708759291161
"25","CH6",4,-10.449,0.10671626195156,"190308",0.0341650816947416
"26","CH7",4,-32.151,0.0689807938675333,"190308",0.0142750497677854
"27","P2",4,-28.2646483488385,0.114391217070355,"190308",0.039256051628511
"28","SALANINE",8,-27.1420538610945,0.0260822204033186,"190308",0.00476197554817103
"29","CH6",3,-10.449,0.121305018917658,"190117",0.0294298152292268
"30","CH7",3,-32.151,0.333736879604681,"190117",0.222760609616538
"31","P2",3,-28.3250009490398,0.0723080076360081,"190117",0.010456895936578
"32","SALANINE",5,-27.2262460313916,0.0845896535828951,"190117",0.0286216379730968
