,ID,ID,ID,RunfileC,pcC,normd13C,d13Csd,RunfileN,pcN,normd15N,d15Nsd,,RunfileC,pcC,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd
1,BAR0A,BAR0A,BAR0A,190402,35.85460393,-26.37724691,0.063650546,190322,1.568294983,1.765341295,0.426348901,,,,,,,,1.493797947,1.275028557,0.407461269
2,BAR0A,BAR0A,BAR0A,,,,,190405,1.524968031,1.324794426,0.42698354,,,,,,,,,,
3,BAR0A,BAR0A,BAR0A,,,,,190228,1.388130828,0.734949951,0.369051366,,,,,,,,,,
4,BAR0A,BAR0A,BAR0A,190308,40.64817844,-26.33168897,0.073982185,,,,,,,,,,,,,,
5,BAR0A,BAR0A,BAR0A,,,,,,,,,,,,,,,,,,
6,BAR0A,BAR0A,BAR0A,,,,,,,,,,,,,,,,,,
7,BAR0B,BAR0B,BAR0B,190402,34.81644358,-26.13277891,0.062888572,,,,,,,,,,,,,,
8,BAR0B,BAR0B,BAR0B,190117,37.07551388,-26.34964293,0.266999529,190405,1.51398985,0.380940451,0.444977912,,,,,,,,1.723027412,0.791989532,0.441152187
9,BAR0BDA,BAR0BDA,BAR0BDA,,,,,190322,1.810604727,1.026639733,0.438738504,,,,,,,,,,
10,BAR0BDB,BAR0BDB,BAR0BDB,,,,,190322,1.635450096,0.968388412,0.439740145,,,,,,,,,,
11,BAR0C,BAR0C,BAR0C,,,,,,,,,,,,,,,,,,
12,BAR0C,BAR0C,BAR0C,,,,,,,,,,,,,,,,,,
13,BAR0C,BAR0C,BAR0C,190308,27.78413302,-26.53272082,0.074245831,,,,,,,,-26.51541812,,,,1.546468354,1.902542473,0.397821854
14,BAR0C,BAR0C,BAR0C,190402,37.22633123,-26.49811543,0.06402945,190322,1.824081803,2.491871029,0.414762959,,,,,,,,,,
15,BAR0C,BAR0C,BAR0C,,,,,190228,1.401849083,1.373824157,0.361066041,,,,,,,,,,
16,BAR0C,BAR0C,BAR0C,,,,,190405,1.413474176,1.841932233,0.417636563,,,,,,,,,,
17,BAR0D,BAR0D,BAR0D,190402,40.41860758,-26.52731443,0.064121197,190405,1.564693284,1.091286143,0.431326537,,,,,,,,,,
18,BAR0E,BAR0E,BAR0E,190402,39.41396222,-26.5505717,0.064194332,190405,1.580409606,0.914490923,0.434663416,,,,,,,,,,
19,BAR0F,BAR0F,BAR0F,190402,35.12655978,-26.59748446,0.064342011,190405,1.528269432,1.356181352,0.426405465,,,,,,,,,,
20,BAR30024A,BAR30024A,BAR30024A,181219,71.42225379,-26.366087,0.071839103,190222,2.688597704,1.250569285,0.27930575,,,,,,,,,,
21,BAR30024B,BAR30024B,BAR30024B,181219,65.04488004,-26.30982967,0.071702045,190222,3.172601248,1.127614585,0.280552162,,,,,,,,,,
22,BAR30024C,BAR30024C,BAR30024C,181219,66.48302811,-26.21690629,0.071477218,190222,3.284454574,1.247082375,0.279340909,,,,,,,,,,
23,BAR3004A,BAR3004A,BAR3004A,181219,68.03494115,-26.27388776,0.071614853,190222,3.093032254,0.84851599,0.283431414,,,,,,,,,,
24,BAR3004B,BAR3004B,BAR3004B,181219,61.6201968,-26.29364108,0.071662737,190222,3.043470159,0.693216949,0.28506296,,,,,,,,,,
25,BAR3004C,BAR3004C,BAR3004C,181219,68.82089886,-25.9721023,0.070894345,190222,3.118881062,1.385484481,0.277953893,,,,,,,,,,
26,BAR3008A,BAR3008A,BAR3008A,181219,68.05846488,-26.63105792,0.07249409,190222,2.967562214,0.915102089,0.282738269,,,,,,,,,,
27,BAR3008B,BAR3008B,BAR3008B,181219,58.88364903,-26.09799097,0.071192364,190222,3.002843044,1.929710962,0.272673481,,,,,,,,,,
28,BAR3008C,BAR3008C,BAR3008C,181219,65.37589216,-26.39047774,0.071898746,190222,2.690997015,0.999429284,0.281866016,,,,,,,,,,
29,FT0A,FT0A,FT0A,190308,30.89418779,-27.09037208,0.075089975,200825,1.388525288,1.518685966,0.407833602,,,,,,,,,,
30,FT0B,FT0B,FT0B,190117,39.31012703,-26.81619976,0.273621034,190322,1.324415149,2.848450151,0.409309652,,,,,,,,,,
31,FT0C,FT0C,FT0C,190308,43.71392608,-27.05987935,0.075039592,200825,1.367086258,2.038977809,0.406125652,,,,,,,,,,
32,FT30024A,FT30024A,FT30024A,181219,60.59389773,-26.65137047,0.072544936,190222,3.624725552,2.373190876,0.268583563,,,,,,,,,,
