,ID,ID,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15N,d15Nsd,,,
1,BAR0A,BAR0A,BAR0A,383.644262,190402,35.85460393,33.00399698,-26.37724691,0.063650546,63.51594681,190322,1.568294983,1.765341295,0.426348901,,,
2,BAR0A,BAR0A,BAR0A,383.644262,190402,35.85460393,33.00399698,-26.37724691,0.063650546,62.67618608,190405,1.524968031,1.324794426,0.42698354,,,
3,BAR0A,BAR0A,BAR0A,383.644262,190402,35.85460393,33.00399698,-26.37724691,0.063650546,56.21929854,190228,1.388130828,0.734949951,0.369051366,,,
4,BAR0A,BAR0A,BAR0A,451.1947807,190308,40.64817844,35.26204136,-26.33168897,0.073982185,63.51594681,190322,1.568294983,1.765341295,0.426348901,,,
5,BAR0A,BAR0A,BAR0A,451.1947807,190308,40.64817844,35.26204136,-26.33168897,0.073982185,62.67618608,190405,1.524968031,1.324794426,0.42698354,,,
6,BAR0A,BAR0A,BAR0A,451.1947807,190308,40.64817844,35.26204136,-26.33168897,0.073982185,56.21929854,190228,1.388130828,0.734949951,0.369051366,,,
7,BAR0B,BAR0B,BAR0B,372.5359463,190402,34.81644358,34.16656823,-26.13277891,0.062888572,64.02645696,190122A,1.468496719,-0.004785876,0.603431684,,,
8,BAR0B,BAR0B,BAR0B,372.5359463,190402,34.81644358,34.16656823,-26.13277891,0.062888572,62.83057892,190405,0.151398985,0.380940451,0.444977912,,,
9,BAR0B,BAR0B,BAR0B,396.7079985,190117,37.07551388,33.34238783,-26.34964293,0.266999529,64.02645696,190122A,1.468496719,-0.004785876,0.603431684,,,
10,BAR0B,BAR0B,BAR0B,396.7079985,190117,37.07551388,33.34238783,-26.34964293,0.266999529,62.83057892,190405,0.151398985,0.380940451,0.444977912,,,
11,BAR0BDA,BAR0BDA,BAR0BDA,NA,NA,NA,NA,NA,NA,75.6832776,190322,1.810604727,1.026639733,0.438738504,,,
12,BAR0BDB,BAR0BDB,BAR0BDB,NA,NA,NA,NA,NA,NA,66.72636393,190322,1.635450096,0.968388412,0.439740145,,,
13,BAR0C,BAR0C,BAR0C,308.4038765,190308,27.78413302,42.31716495,-26.53272082,0.074245831,72.78086393,190322,1.824081803,2.491871029,0.414762959,,,
14,BAR0C,BAR0C,BAR0C,308.4038765,190308,27.78413302,42.31716495,-26.53272082,0.074245831,56.63470297,190228,1.401849083,1.373824157,0.361066041,,,
15,BAR0C,BAR0C,BAR0C,308.4038765,190308,27.78413302,42.31716495,-26.53272082,0.074245831,61.9101689,190405,1.413474176,1.841932233,0.417636563,,,
16,BAR0C,BAR0C,BAR0C,372.2633123,190402,37.22633123,37.95194619,-26.49811543,0.06402945,72.78086393,190322,1.824081803,2.491871029,0.414762959,,,
17,BAR0C,BAR0C,BAR0C,372.2633123,190402,37.22633123,37.95194619,-26.49811543,0.06402945,56.63470297,190228,1.401849083,1.373824157,0.361066041,,,
18,BAR0C,BAR0C,BAR0C,372.2633123,190402,37.22633123,37.95194619,-26.49811543,0.06402945,61.9101689,190405,1.413474176,1.841932233,0.417636563,,,
19,BAR0D,BAR0D,BAR0D,448.6465441,190402,40.41860758,36.45390459,-26.52731443,0.064121197,68.3770965,190405,1.564693284,1.091286143,0.431326537,,,
20,BAR0E,BAR0E,BAR0E,437.4949806,190402,39.41396222,33.70988728,-26.5505717,0.064194332,63.21638423,190405,1.580409606,0.914490923,0.434663416,,,
21,BAR0F,BAR0F,BAR0F,389.9048136,190402,35.12655978,37.01808752,-26.59748446,0.064342011,61.43643118,190405,1.528269432,1.356181352,0.426405465,,,
22,BAR30024A,BAR30024A,BAR30024A,535.6669034,181219,71.42225379,32.36468326,-26.366087,0.071839103,63.98862535,190222,2.688597704,1.250569285,0.27930575,,,
23,BAR30024B,BAR30024B,BAR30024B,552.8814803,181219,65.04488004,28.84340797,-26.30982967,0.071702045,75.50790971,190222,3.172601248,1.127614585,0.280552162,,,
24,BAR30024C,BAR30024C,BAR30024C,505.2710136,181219,66.48302811,25.10534441,-26.21690629,0.071477218,75.87090067,190222,3.284454574,1.247082375,0.279340909,,,
25,BAR3004A,BAR3004A,BAR3004A,557.8865174,181219,68.03494115,32.88543044,-26.27388776,0.071614853,80.4188386,190222,3.093032254,0.84851599,0.283431414,,,
26,BAR3004B,BAR3004B,BAR3004B,517.6096531,181219,61.6201968,33.15647249,-26.29364108,0.071662737,74.86936592,190222,3.043470159,0.693216949,0.28506296,,,
27,BAR3004C,BAR3004C,BAR3004C,523.0388313,181219,68.82089886,33.6099704,-25.9721023,0.070894345,77.66013845,190222,3.118881062,1.385484481,0.277953893,,,
28,BAR3008A,BAR3008A,BAR3008A,530.8560261,181219,68.05846488,31.83900706,-26.63105792,0.07249409,75.96959267,190222,2.967562214,0.915102089,0.282738269,,,
29,BAR3008B,BAR3008B,BAR3008B,435.7390028,181219,58.88364903,33.92824135,-26.09799097,0.071192364,72.36851737,190222,3.002843044,1.929710962,0.272673481,,,
30,BAR3008C,BAR3008C,BAR3008C,496.8567804,181219,65.37589216,35.19519609,-26.39047774,0.071898746,64.31482865,190222,2.690997015,0.999429284,0.281866016,,,
31,FT0A,FT0A,FT0A,324.3889718,190308,30.89418779,45.15516728,-27.09037208,0.075089975,70.12052704,200825,1.388525288,1.518685966,0.407833602,,,
32,FT0B,FT0B,FT0B,432.4113973,190117,39.31012703,39.11339164,-26.81619976,0.273621034,51.36140312,190122A,1.274476504,3.654876904,0.572204998,3.251663527,0.490757325,
33,FT0B,FT0B,FT0B,432.4113973,190117,39.31012703,39.11339164,-26.81619976,0.273621034,52.44683989,190322,1.324415149,2.848450151,0.409309652,,,
34,FT0C,FT0C,FT0C,480.8531869,190308,43.71392608,46.69039116,-27.05987935,0.075039592,68.21760425,200825,1.367086258,2.038977809,0.406125652,,,
35,FT30024A,FT30024A,FT30024A,484.7511818,181219,60.59389773,30.83004873,-26.65137047,0.072544936,80.10643469,190222,3.624725552,2.373190876,0.268583563,,,
36,FT30024B,FT30024B,FT30024B,563.0733533,181219,69.5152288,32.88945257,-26.61025779,0.072442116,83.18966033,190222,3.249596107,2.24459422,0.269749246,,,
37,FT30024C,FT30024C,FT30024C,546.9854668,181219,65.90186347,33.32717391,-26.71045281,0.07269334,85.75166012,190222,3.603010929,2.520332412,0.267270505,,,
38,FT3004A,FT3004A,FT3004A,595.3394241,181219,70.03993225,35.37735687,-26.66783823,0.072586224,80.86621298,190222,3.098322336,2.600300327,0.266566277,,,
39,FT3004B,FT3004B,FT3004B,610.7905244,181219,72.71315767,34.99849378,-26.57169562,0.072346009,75.77349837,190222,2.936957301,2.432018822,0.268055925,,,
40,FT3004C,FT3004C,FT3004C,505.5427787,181219,67.40570383,39.86343596,-26.96179696,0.073333027,81.37134569,190222,3.216258723,2.528758507,0.267195988,,,
41,FT3008A,FT3008A,FT3008A,562.4050536,181219,66.95298257,36.182355,-26.75150999,0.072796911,58.62957201,190222,2.383315935,2.428008052,0.268091785,,,
42,FT3008B,FT3008B,FT3008B,525.2461246,181219,64.84520057,37.62965456,-27.15730519,0.073839805,67.25583081,190222,2.528414692,2.311059396,0.269144668,,,
43,FT3008C,FT3008C,FT3008C,571.9640071,181219,67.28988319,34.57148343,-26.94110953,0.07327987,66.39686772,190222,2.732381388,2.123227975,0.270864679,,,
44,OAT0A,OAT0A,OAT0A,405.4982414,190117,40.95941832,23.5946766,-27.3416745,0.281153848,89.26129235,190122A,2.187776773,3.852558048,0.57075424,not using,,
45,OAT0A,OAT0A,OAT0A,405.4982414,190117,40.95941832,23.5946766,-27.3416745,0.281153848,96.13566425,200827,2.403391606,2.963414412,NA,usiny,,
46,OAT0B,OAT0B,OAT0B,379.861081,190117,38.7613348,24.33533245,-27.94141109,0.289840818,82.33464859,190122A,2.037986351,3.567871498,0.572851566,,,
47,OAT0B,OAT0B,OAT0B,379.861081,190117,38.7613348,24.33533245,-27.94141109,0.289840818,94.42309391,200827,2.28627346,3.431096713,NA,,,
48,OAT0C,OAT0C,OAT0C,437.6873637,190117,42.49391881,23.71433648,-27.4359613,0.282513431,87.47598162,190122A,2.092726833,4.083494203,0.569091793,,,
49,OAT0C,OAT0C,OAT0C,437.6873637,190117,42.49391881,23.71433648,-27.4359613,0.282513431,89.00222585,200827,2.241869669,2.621818024,NA,,,
50,OAT21524A,OAT21524A,OAT21524A,372.9122258,181031,57.37111166,22.71612751,-27.59081807,0.083496071,97.87718752,181112,3.219644326,5.4280695,0.264580206,,,
51,OAT21524B,OAT21524B,OAT21524B,431.1938769,181031,62.49186622,22.45739947,-28.2975542,0.084154077,103.089739,181112,3.629920387,4.892823998,0.266395184,,,
52,OAT21524C,OAT21524C,OAT21524C,436.6630837,181031,66.16107329,23.45585098,-27.47903502,0.083396903,111.8820058,181112,3.680329138,4.860894343,0.266511282,,,
53,OAT2154A,OAT2154A,OAT2154A,332.7887678,181031,46.87165744,22.5461874,-27.68520246,0.083580854,105.1788685,181112,3.426021775,5.223494522,0.265244532,,,
54,OAT2154B,OAT2154B,OAT2154B,343.1420211,181031,51.21522703,22.35157842,-27.2292339,0.083180195,107.1711582,181112,3.490917205,4.988485691,0.266052598,,,
55,OAT2154C,OAT2154C,OAT2154C,320.9135601,181031,50.14274377,24.51000252,-27.2829509,0.083226222,88.43362719,181112,2.909000894,4.562549643,0.267638169,,,
56,OAT2158A,OAT2158A,OAT2158A,396.5739504,181031,55.85548597,22.46993055,-27.35048152,0.083284532,103.0504439,181112,3.378703079,5.321323984,0.264922287,,,
57,OAT2158D,OAT2158D,OAT2158D,317.1972163,181031,51.16084134,22.93636396,-28.20110571,0.084061146,83.1090523,181112,2.978819079,4.921517389,0.2662916,,,
58,OAT2158E,OAT2158E,OAT2158E,331.9461456,181031,49.54420084,24.20341272,-28.11874323,0.083982567,69.85965673,181112,2.558961785,5.219217576,0.26525881,,,
59,OAT23024A,OAT23024A,OAT23024A,544.2381866,181129,64.02802195,20.58772909,-26.90178962,0.084036186,85.73852883,181210,3.827612894,5.047240633,0.37823978,,,
60,OAT23024B,OAT23024B,OAT23024B,529.4623618,181129,67.02055213,20.17073358,-26.97893577,0.084337882,99.91814255,181210,4.251835853,4.473776646,0.382009475,,,
