,ID,Cugdc,RunfileC,pcC,CN_Crun,normd13C,d13Csd,Nugdc,RunfileN,pcN,normd15Nav,normd15N28thoct,normd15N,...15,d15Nsd,Species,time,rep,temp,CharrNo,Freshwt,Charwt,char,pcwtloss,newCN,TT2
1,BAR30024,531.2731324,181219,67.65005398,28.77114521,-26.29760765,0.071672789,71.78914524,NA,3.048551175,1.208422082,NA,NA,NA,0.27973294,Barley,24,NA,300,NA,NA,NA,NA,62.79201647,NA,NA
2,BAR3004,532.8450006,181219,66.15867894,33.21729111,-26.17987705,0.071390645,77.64944766,NA,3.085127825,0.97573914,NA,NA,NA,0.282149422,Barley,4,NA,300,NA,NA,NA,NA,55.98596136,NA,NA
3,BAR3008,487.8172698,181219,64.10600202,33.65414817,-26.37317554,0.071861733,70.8843129,NA,2.887134091,1.281414112,NA,NA,NA,0.279092589,Barley,8,NA,300,NA,NA,NA,NA,57.74546068,NA,NA
4,BW0-0,448.907261,131017.6667,41.22851044,NA,-27.15040642,0.0501905,70.85138146,130846.6667,1.378179242,2.089878016,NA,NA,NA,0.319451603,BW,0,NA,0,NA,NA,NA,NA,0,NA,NA
5,C10HBH245-24,406.8468144,131130,62.58353557,NA,-26.4491333,0.055326892,82.2370636,131154,2.74216369,0.755680316,NA,NA,NA,0.418837918,Barley,24,NA,245,NA,NA,NA,NA,52.20883534,NA,NA
6,C10HBH245-4,392.6527557,131151.3333,60.68031115,NA,-26.5383686,0.067773871,77.78756086,131123.3333,2.562078671,0.985755356,NA,NA,NA,0.256884702,Barley,4,NA,245,NA,NA,NA,NA,43.41085271,NA,NA
7,C10HBH245-8,394.5468174,131123.3333,61.99081339,NA,-26.61667565,0.066490866,75.53625024,131123.3333,2.59011102,0.719866279,NA,NA,NA,0.257682787,Barley,8,NA,245,NA,NA,NA,NA,46,NA,NA
8,C11HBH260-24,417.7403788,131130,64.29179667,NA,-26.31650215,0.055119901,82.25963456,131154,2.76729668,0.644409035,NA,NA,NA,0.410541467,Barley,24,NA,260,NA,NA,NA,NA,56.8,NA,NA
9,C11HBH260-4,407.0954961,131130,62.95741679,NA,-26.4333358,0.055310728,74.811342,131128,2.523265051,0.891814559,NA,NA,NA,0.177085045,Barley,4,NA,260,NA,NA,NA,NA,49.19354839,NA,NA
10,C11HBH260-8,421.6459449,131130,65.89328034,NA,-26.33026893,0.05514548,74.58081717,131180,2.468162669,0.494069037,NA,NA,NA,0.646858054,Barley,8,NA,260,NA,NA,NA,NA,51.58730159,NA,NA
11,C4BW215-24,401.6687637,131022.6667,61.81875526,NA,-27.21317613,0.061313188,67.01970589,130929,2.297533332,2.31727985,NA,NA,NA,0.31644501,BW,24,NA,215,NA,NA,NA,NA,46.18791123,NA,NA
12,C4BW215-4,303.0751514,131021,46.17433781,NA,-27.17033119,0.059765858,48.46203182,130890.6667,1.65150745,1.859530606,NA,NA,NA,0.285270045,BW,4,NA,215,NA,NA,NA,NA,25.35739712,NA,NA
13,C4BW215-8,326.4065141,131021,51.44528213,NA,-27.08017208,0.0595536,58.4883343,130922.3333,1.858103307,2.070146299,NA,NA,NA,0.282223213,BW,8,NA,215,NA,NA,NA,NA,30.95833055,NA,NA
14,C5BW230-24,391.4678125,131019.3333,62.46381265,NA,-26.99254197,0.051248743,71.97330087,130886.3333,2.328450024,2.276657734,NA,NA,NA,0.282460763,BW,24,NA,230,NA,NA,NA,NA,50.1001161,NA,NA
15,C5BW230-4,372.1063045,131018,58.22191884,NA,-26.94474197,0.050490928,62.07043021,130892,2.096403591,1.654020783,NA,NA,NA,0.321181191,BW,4,NA,230,NA,NA,NA,NA,38.24220675,NA,NA
16,C5BW230-8,385.546918,131018.6667,61.20308087,NA,-26.98573574,0.05041194,70.47922919,130891,2.402874986,2.430643131,NA,NA,NA,0.313391906,BW,8,NA,230,NA,NA,NA,NA,45.42588936,NA,NA
17,C6BW245-24,421.8483734,131021,62.93888917,NA,-26.84494125,0.059067869,74.15764584,130892,2.591977144,2.15658337,NA,NA,NA,0.318152045,BW,24,NA,245,NA,NA,NA,NA,54.2804436,NA,NA
18,C6BW245-4,423.9406388,131019.6667,65.57844428,NA,-26.97826722,0.058864516,73.49660032,130944.3333,2.514075174,1.862538132,NA,NA,NA,0.263986959,BW,4,NA,245,NA,NA,NA,NA,47.95336184,NA,NA
19,C6BW245-8,428.9079042,131019,63.06325792,NA,-26.97928981,0.061950448,66.47362226,130994.6667,2.212953631,1.612350449,NA,NA,NA,0.380787321,BW,8,NA,245,NA,NA,NA,NA,50.18898771,NA,NA
20,C7BW260-24,410.9562597,131018.6667,64.86586141,NA,-26.90328147,0.061208841,83.33770564,130915.6667,2.793315234,2.451839379,NA,NA,NA,0.242970312,BW,24,NA,260,NA,NA,NA,NA,56.64628296,NA,NA
21,C7BW260-4,425.7515617,131022,63.23040682,NA,-26.90184925,0.050048837,74.74070213,130915.3333,2.482111304,2.29382521,NA,NA,NA,0.211406925,BW,4,NA,260,NA,NA,NA,NA,51.90045895,NA,NA
22,C7BW260-8,440.3370586,131022.3333,66.72696635,NA,-26.90514776,0.061598441,79.21474905,130913,2.569084811,2.104060292,NA,NA,NA,0.205599275,BW,8,NA,260,NA,NA,NA,NA,52.68806771,NA,NA
23,C8HBH215-24,393.7856183,131123.3333,59.63945104,NA,-26.33440356,0.065984687,88.11730953,131123.3333,2.784675869,0.230347701,NA,NA,NA,0.258853995,Barley,24,NA,215,NA,NA,NA,NA,43.87351779,NA,NA
24,C8HBH215-4,320.9646121,131126.6667,49.59176722,NA,-26.49916187,0.060887629,56.81649974,131125.6667,1.886460775,0.741223702,NA,NA,NA,0.217555858,Barley,4,NA,215,NA,NA,NA,NA,25.30120482,NA,NA
25,C8HBH215-8,363.2692769,131126.6667,54.77990805,NA,-26.29582071,0.060490112,63.34377693,131125.6667,2.184042557,0.375401774,NA,NA,NA,0.218244299,Barley,8,NA,215,NA,NA,NA,NA,34.35114504,NA,NA
26,C9HBH230-24,400.6296639,131130,61.04094375,NA,-26.39619028,0.055244263,83.45191342,131128,2.798239432,1.263528144,NA,NA,NA,0.176369297,Barley,24,NA,230,NA,NA,NA,NA,52.52918288,NA,NA
27,C9HBH230-4,392.0580101,131126.6667,58.79762161,NA,-26.21081927,0.060406575,71.61775686,131125.6667,2.379869414,1.079711596,NA,NA,NA,0.216887317,Barley,4,NA,230,NA,NA,NA,NA,39.84375,NA,NA
28,C9HBH230-8,408.1088976,131130,64.9474001,NA,-26.28379737,0.055071232,71.28456782,131128,2.353726668,0.933323776,NA,NA,NA,0.176988593,Barley,8,NA,230,NA,NA,NA,NA,45.3125,NA,NA
29,FT30024,531.603334,181219,65.33699667,32.34889174,-26.65736036,0.072560131,83.01591838,NA,3.492444196,2.379372503,NA,NA,NA,0.268534438,BW,24,NA,300,NA,NA,NA,NA,64.8494358,NA,NA
30,FT3004,570.5575757,181219,70.05293125,36.74642887,-26.73377694,0.072755087,79.33701901,NA,3.08384612,2.520359219,NA,NA,NA,0.26727273,BW,4,NA,300,NA,NA,NA,NA,58.75888615,NA,NA
31,FT3008,553.2050618,181219,66.36268878,36.127831,-26.9499749,0.073305529,64.09409018,NA,2.548037338,2.287431808,NA,NA,NA,0.269367044,BW,8,NA,300,NA,NA,NA,NA,60.12408044,NA,NA
32,HBH0-0,443.9190317,131151.3333,39.64577909,NA,-26.61430283,0.067419783,76.12597099,131125.6667,1.402213826,0.509904989,NA,NA,NA,0.217952678,Barley,0,NA,0,NA,NA,NA,NA,0,NA,NA
33,OAT0,407.6822287,190117,40.73822398,23.88144851,-27.57301563,0.284502699,89.7721511,NA,2.208337449,3.42004215,NA,NA,NA,0.5708992,Oat,0,NA,0,NA,NA,NA,NA,0,NA,NA
34,OAT21524,413.5897288,181031,62.00801706,22.87645932,-27.78913576,0.08368235,104.2829774,NA,3.509964617,5.060595947,NA,NA,NA,0.265828891,Oat,24,NA,215,NA,NA,NA,NA,37.95940198,NA,NA
35,OAT2154,332.2814497,181031,49.40987608,23.13592278,-27.39912909,0.08332909,100.261218,NA,3.275313291,4.924843285,NA,NA,NA,0.266311766,Oat,4,NA,215,NA,NA,NA,NA,20.5354643,NA,NA
